candidate_id,rank,score,reasoning
CAND_0011643,88,139.34,AI Research Engineer with 4.2 years experience; key skills: FAISS
CAND_0017960,89,139.28,Recommendation Systems Engineer with 7.7 years experience; key skills: Machine Learning
CAND_0048509,90,138.87,"AI Research Engineer with 4.2 years experience; key skills: FAISS, PyTorch"
CAND_0016432,91,138.79,"AI Research Engineer with 4.6 years experience; key skills: NLP, Machine Learning"
CAND_0044890,92,138.79,AI Research Engineer with 5.0 years experience; key skills: FAISS
CAND_0030953,93,138.5,Search Engineer with 7.8 years experience; key skills: RAG
CAND_0006418,94,138.43,Machine Learning Engineer with 5.7 years experience
CAND_0013111,95,138.31,AI Research Engineer with 4.2 years experience; key skills: RAG
CAND_0098780,96,138.15,AI Research Engineer with 5.9 years experience; key skills: Milvus
CAND_0007052,97,137.75,"ML Engineer with 6.5 years experience; key skills: RAG, Milvus, Machine Learning"
CAND_0062247,98,137.74,AI Engineer with 7.3 years experience; key skills: RAG
CAND_0047521,99,137.57,"Junior ML Engineer with 4.4 years experience; key skills: RAG, Milvus"
CAND_0050876,100,137.47,"Applied ML Engineer with 6.0 years experience; key skills: FAISS, PyTorch, Machine Learning"
